Claim 0: |{|Model, CodeLlama-13B|, |Dataset, Spider|, |Task, Discrimination Ability|}, Acc, 58.2|
Claim 1: |{|Model, CodeLlama-13B|, |Dataset, Bird|, |Task, Discrimination Ability|}, Acc, 49.4|
Claim 2: |{|Model, CodeLlama-13B|, |Dataset, GSM8K|, |Task, Discrimination Ability|}, Acc, 62.2|
Claim 3: |{|Model, GPT-3.5-Turbo|, |Dataset, Spider|, |Task, Discrimination Ability|}, Acc, 67.0|
Claim 4: |{|Model, GPT-3.5-Turbo|, |Dataset, Bird|, |Task, Discrimination Ability|}, Acc, 64.3|
Claim 5: |{|Model, GPT-3.5-Turbo|, |Dataset, GSM8K|, |Task, Discrimination Ability|}, Acc, 72.1|
Claim 6: |{|Model, CodeLlama-13B-FT|, |Dataset, Spider|, |Task, Discrimination Ability|}, Acc, 69.7|
Claim 7: |{|Model, CodeLlama-13B-FT|, |Dataset, Bird|, |Task, Discrimination Ability|}, Acc, 62.1|
Claim 8: |{|Model, CodeLlama-13B|, |Dataset, Spider|, |Task, Discrimination Ability|}, Acc, 78.7|
Claim 9: |{|Model, CodeLlama-13B|, |Dataset, Bird|, |Task, Discrimination Ability|}, Acc, 78.8|
Claim 10: |{|Model, CodeLlama-13B|, |Dataset, GSM8K|, |Task, Discrimination Ability|}, Acc, 64.5|
Claim 11: |{|Model, GPT-3.5-Turbo|, |Dataset, Spider|, |Task, Discrimination Ability|}, Acc, 84.8|
Claim 12: |{|Model, GPT-3.5-Turbo|, |Dataset, Bird|, |Task, Discrimination Ability|}, Acc, 86.3|
Claim 13: |{|Model, GPT-3.5-Turbo|, |Dataset, GSM8K|, |Task, Discrimination Ability|}, Acc, 73.2|
Claim 14: |{|Model, CodeLlama-13B-FT|, |Dataset, Spider|, |Task, Discrimination Ability|}, Acc, 83.6|
Claim 15: |{|Model, CodeLlama-13B-FT|, |Dataset, Bird|, |Task, Discrimination Ability|}, Acc, 82.2|
Claim 16: |{|Model, CodeLlama-13B|, |Dataset, Spider|, |Task, Discrimination Ability|}, Acc, 83.6|
Claim 17: |{|Model, CodeLlama-13B|, |Dataset, Bird|, |Task, Discrimination Ability|}, Acc, 79.6|
Claim 18: |{|Model, CodeLlama-13B|, |Dataset, GSM8K|, |Task, Discrimination Ability|}, Acc, 70.6|
Claim 19: |{|Model, GPT-3.5-Turbo|, |Dataset, Spider|, |Task, Discrimination Ability|}, Acc, 90.0|
Claim 20: |{|Model, GPT-3.5-Turbo|, |Dataset, Bird|, |Task, Discrimination Ability|}, Acc, 89.2|
Claim 21: |{|Model, GPT-3.5-Turbo|, |Dataset, GSM8K|, |Task, Discrimination Ability|}, Acc, 76.5|
Claim 22: |{|Model, CodeLlama-13B-FT|, |Dataset, Spider|, |Task, Discrimination Ability|}, Acc, 88.5|
Claim 23: |{|Model, CodeLlama-13B-FT|, |Dataset, Bird|, |Task, Discrimination Ability|}, Acc, 85.1|
Claim 24: |{|Model, CodeLlama-13B|, |Dataset, Spider|, |Task, Discrimination Ability|}, Improvement, 25.4|
Claim 25: |{|Model, CodeLlama-13B|, |Dataset, Bird|, |Task, Discrimination Ability|}, Improvement, 30.2|
Claim 26: |{|Model, CodeLlama-13B|, |Dataset, GSM8K|, |Task, Discrimination Ability|}, Improvement, 8.4|
Claim 27: |{|Model, GPT-3.5-Turbo|, |Dataset, Spider|, |Task, Discrimination Ability|}, Improvement, 23.0|
Claim 28: |{|Model, GPT-3.5-Turbo|, |Dataset, Bird|, |Task, Discrimination Ability|}, Improvement, 24.9|
Claim 29: |{|Model, GPT-3.5-Turbo|, |Dataset, GSM8K|, |Task, Discrimination Ability|}, Improvement, 4.4|
Claim 30: |{|Model, CodeLlama-13B-FT|, |Dataset, Spider|, |Task, Discrimination Ability|}, Improvement, 18.8|
Claim 31: |{|Model, CodeLlama-13B-FT|, |Dataset, Bird|, |Task, Discrimination Ability|}, Improvement, 23.0|
